title,artist,keywords
涙そうそう,夏川りみ,夏;バラード
粉雪,レミオロメン,冬;バラード
栄光の架橋,ゆず,応援;スポーツ
ひまわりの約束,秦基博,映画
Lemon,米津玄師,ドラマ;喪失感
紅蓮華,LiSA,応援;アップテンポ;アニメ
群青,YOASOBI,青春;応援;創造;東京;TEENAGER;孤独
夜に駆ける,YOASOBI,夜;切ない;アップテンポ
Pretender,Official髭男dism,失恋;切ない
第ゼロ感,10-FEET,主人公;アップテンポ;アニメ;スポーツ;今を生きる
群青日和,東京事変,冬;東京;雨
ゲレンデがとけるほど恋したい,広瀬香美,冬;恋愛;ハッピー
クリスマスソング,back number,冬;恋;苦しい
ガチ夢中！,超特急,応援;アイドル;LOVE;アップテンポ,元気
できっこないをやらなくちゃ,サンボマスター,応援
爆裂愛してる,M!LK,アイドル;ハッピー;ミラーボール;ハッピー
SPECIALZ,King Gnu,主人公;アニメ
飛行艇,King Gnu,主人公
完全感覚Dreamer,ONE OK ROCK,主人公;今を生きる;応援
ワタリドリ,[Alexandros],主人公
FLY HIGH!!,BURNOUT SYNDROMES,主人公;アニメ;スポーツ;青春;挑戦;今を生きる;応援;TEENAGER
ピースサイン,米津玄師,主人公;アニメ;応援;TEENAGER
THE DAY,ポルノグラフティ,主人公;アニメ;応援
シャミナミ,ジェニーハイ,東京;失恋;浮遊感
スターライトパレード,SEKAI NO OWARI,眠れない夜;ファンタジー;夜
ラジオ,aiko,眠れない夜
盛れ！ミ・アモーレ,Juice=Juice,失恋;アイドル;アップテンポ;元気
B級,ちゃんみな,失恋;モヤモヤ
UFOを呼ぶダンス,ポップしなないで,宇宙;アップテンポ;浮遊感;TEENAGER;青春;踊りたい気分
Altair and Vega,MindaRyn,宇宙
推論的に宇宙人,原因は自分にある。,宇宙;恋;アップテンポ
怪獣,サカナクション,宇宙;アニメ;孤独
Plazm,米津玄師,宇宙;アニメ;アップテンポ
天体観測,BUMP OF CHICKEN,宇宙;青春;夜;眠れない夜;友情;恋;星;今を生きる
星間飛行,ランカ・リー=中島愛,宇宙;アニメ;星;恋
夜鷹,きのこ帝国,宇宙;眠れない夜;孤独
長く短い祭り,椎名林檎,夏;日本;夜;今を生きる
青と夏,Mrs. GREEN APPLE,夏;青春;TEENAGER
フロントメモリー,神聖かまってちゃん,夏;苦しい;アップテンポ;孤独
花火,aiko,夏;恋愛
青い珊瑚礁,松田聖子,夏;海;アイドル;恋
若者のすべて,フジファブリック,夏
Yeah！めっちゃホリディ,松浦亜弥,夏;アイドル;ハッピー;元気
Monster,嵐,ファンタジー;ドラマ;アイドル
Under the Sea,アラン・メンケン,海
海の幽霊,米津玄師,海;浮遊感
NIPPON,椎名林檎,日本;スポーツ;今を生きる
決戦は金曜日,DREAMS COME TRUE,WEEKEND
気分上々↑↑,Mihimaru GT,WEEKEND;ミラーボール;元気;夜
ウィークエンダー,Hey! Say! JUMP,WEEKEND;ミラーボール;アイドル;踊りたい気分
泡沫サタデーナイト!,モーニング娘。'16,WEEKEND;アイドル;日本;ミラーボール;元気;踊りたい気分
やさしさに包まれたなら,荒井由美,日曜日
Teenager Forever,King Gnu,TEENAGER;青春
アイデンティティ,サカナクション,TEENAGER
創造,星野源,創造;ワクワク
新宝島,サカナクション,創造;映画
旅にでも出よっか,キタニタツヤ,何もしたくない
瞬き,back number,冬;夜
September,アース・ウィンド&ファイア,踊りたい気分;ミラーボール;ハッピー
BOW AND ARROW,米津玄師,挑戦;アニメ;スポーツ;今を生きる
アタシのドレス,ねぐせ。,挑戦;アニメ;スポーツ;元気
春雷,米津玄師,春;恋;喪失感
青のすみか,キタニタツヤ,アニメ;青春;喪失感;夏
きらり,藤井風,浮遊感
感電,米津玄師,ドラマ;友情;今を生きる
閃光少女,東京事変,今を生きる;TEENAGER;青春
Driver’s High,L'Arc〜en〜Ciel,今を生きる
winter fall,L'Arc〜en〜Ciel,冬;雪
Rain,秦基博,雨;アニメ;喪失感
RAIN,SEKAI NO OWARI,雨;ファンタジー;映画
迷子犬と雨のビート,ASIAN KUNG-FU GENERATION,雨;アニメ
I Will Survive,Gloria Gaynor,失恋
プランA,DISH//,アニメ;アップテンポ
Can do! Can go!,V6,応援;アイドル
Yes! 東京,EBiDAN（恵比寿学園男子部）,東京;アイドル;元気;ハッピー;応援;挑戦
